t,x,y,z
1.1900000000000008,-0.10223718848346701,-0.04200386688890058,0.6027787246429062
1.1920000000000008,-0.09625411097260533,-0.04198921542931957,0.6028458143205431
1.1940000000000008,-0.09025381780870556,-0.04197456396973857,0.6028951835644776
1.1960000000000008,-0.08425352464480579,-0.041959912510157564,0.6029053128084121
1.1980000000000008,-0.07825323148090602,-0.04194526105057656,0.6028762020523466
1.2000000000000008,-0.07225293831700624,-0.04193060959099556,0.6028078512962811
1.2020000000000008,-0.06628039172660728,-0.041953599299283655,0.6027872286955012
1.2040000000000008,-0.060305686790094425,-0.041982679048172336,0.60281567643419
1.2060000000000008,-0.05433098185358157,-0.04201175879706102,0.6028048841728788
1.2080000000000009,-0.04835627691706871,-0.0420408385459497,0.6027548519115676
1.2100000000000009,-0.04234181613414175,-0.04202625167319384,0.6027698577353298
1.2120000000000009,-0.03632707684220336,-0.042011198350925684,0.6027621404218944
1.2140000000000009,-0.03031585434874304,-0.04199956938931556,0.602781218527105
1.2160000000000009,-0.024307814063145187,-0.0419910754424252,0.6027903623441307
1.2180000000000009,-0.018305420984961587,-0.04198849123458883,0.6027953572193155
1.2200000000000009,-0.012300486620292808,-0.041983721944743486,0.6028033547217662
1.2220000000000009,-0.0062960891144868145,-0.04197925756644122,0.602810444420312
1.2240000000000009,-0.0002893598561977233,-0.04197202726651411,0.6028059096790843
1.2260000000000009,0.005710881380464302,-0.04196368124863313,0.6027905940789368
1.2280000000000009,0.011711122617126327,-0.04195533523075215,0.6027360384787892
1.2300000000000009,0.017711363853788353,-0.04194698921287117,0.6026422428786417
1.2320000000000009,0.02371160509045038,-0.04193864319499019,0.6025092072784941
1.2340000000000009,0.029711846327112407,-0.04193029717710921,0.6023369316783466
1.2360000000000009,0.03571208756377443,-0.04192195115922823,0.602125416078199
1.2380000000000009,0.04171232880043646,-0.041913605141347246,0.6018746604780515
1.2400000000000009,0.04771257003709849,-0.041905259123466265,0.601584664877904
1.2420000000000009,0.05371281127376051,-0.041896913105585284,0.6012554292777564
1.2440000000000009,0.05971305251042254,-0.041888567087704304,0.6008869536776089
1.2460000000000009,0.06571329374708457,-0.04188022106982332,0.6004792380774614
1.2480000000000009,0.0717135349837466,-0.04187187505194234,0.6000322824773139
1.2500000000000009,0.07771377622040862,-0.04186352903406136,0.5995460868771664
1.252000000000001,0.08371401745707065,-0.04185518301618038,0.5990206512770189
1.254000000000001,0.08971425869373267,-0.0418468369982994,0.5984559756768714
1.256000000000001,0.0957144999303947,-0.04183849098041842,0.5978520600767239
1.258000000000001,0.10171474116705673,-0.04183014496253744,0.5972089044765764
1.260000000000001,0.10771498240371875,-0.04182179894465646,0.5956632792144342
1.262000000000001,0.11371522364038078,-0.04181345292677548,0.5932151842902973
1.264000000000001,0.11971546487704281,-0.041805106908894496,0.5907278493661604
1.266000000000001,0.12571570611370483,-0.041796760891013515,0.5882012744420235
1.268000000000001,0.13171594735036685,-0.041788414873132534,0.5856354595178866
1.270000000000001,0.13771618858702886,-0.041780068855251554,0.5830304045937498
1.272000000000001,0.14371642982369087,-0.04177172283737057,0.5803861096696129
1.274000000000001,0.14971667106035288,-0.04176337681948959,0.577702574745476
1.276000000000001,0.1557169122970149,-0.04175503080160861,0.5749797998213392
1.278000000000001,0.1617171535336769,-0.04174668478372763,0.5722177848972023
1.280000000000001,0.16771739477033892,-0.04173833876584665,0.5694165299730655
1.282000000000001,0.17371763600700094,-0.04172999274796567,0.5665760350489286
1.284000000000001,0.17971787724366295,-0.04172164673008469,0.5636963001247918
1.286000000000001,0.18571811848032496,-0.04171330071220371,0.5607773252006549
1.288000000000001,0.19171835971698697,-0.04170495469432273,0.5578191102765181
1.290000000000001,0.197718600953649,-0.041696608676441746,0.5548216553523813
1.292000000000001,0.203718842190311,-0.041688262658560765,0.5517849604282444
1.294000000000001,0.209719083426973,-0.041679916640679784,0.5487090255041076
1.296000000000001,0.21571932466363503,-0.041671570622798804,0.5455938505799708
1.298000000000001,0.22171956590029704,-0.04166322460491782,0.542439435655834
1.300000000000001,0.22771980713695905,-0.04165487858703684,0.5392457807316972
1.302000000000001,0.23372004837362106,-0.04164653256915586,0.5360128858075603
1.304000000000001,0.23972028961028308,-0.04163818655127488,0.5327407508834235
1.306000000000001,0.2457205308469451,-0.0416298405333939,0.5294293759592867
1.308000000000001,0.2517207720836071,-0.04162149451551292,0.5260787610351499
1.310000000000001,0.25772101332026914,-0.04161314849763194,0.5226889061110132
1.312000000000001,0.2637212545569312,-0.04160480247975096,0.5192598111868764
1.314000000000001,0.2697214957935932,-0.04159645646186998,0.5157914762627395
1.316000000000001,0.27572173703025527,-0.041588110443988996,0.5122839013386026
1.318000000000001,0.2817219782669173,-0.041579764426108015,0.5087370864144657
1.320000000000001,0.28772221950357935,-0.041571418408227034,0.5051510314903288
