time_s,state,target_id,ee_x_m,ee_y_m,ee_z_m,target_error_m,q_1_rad,q_2_rad,q_3_rad,q_4_rad,q_5_rad,q_6_rad
0.0,idle,,-0.10812019549473453,0.4703539900149672,0.47158932478917637,0.7776121872503301,-1.61268,-1.61268,1.63364,-1.50796,-1.63364,-0.04086082329377185
0.1,idle,,-0.01305902803736464,0.33997427761278753,0.39582772209531303,0.6197193900621021,-1.8220800000000004,-1.8220800000000001,1.947839999999999,-1.1937599999999997,-1.9478399999999991,-0.19421141653562932
0.2,idle,,0.04020671916156178,0.2667786062849945,0.47267474373993945,0.528472919081063,-2.0314799999999993,-2.031479999999999,1.9090002414268938,-1.0315122801712966,-2.110822678226019,-0.3834451775512615
0.3,idle,,0.07564844816825356,0.21160313163544234,0.45840090824307733,0.4644836683385707,-2.2408799999999998,-2.2408799999999993,2.1035820041066566,-1.2979371136082178,-2.237940561393804,-0.6431424005246565
0.4,idle,,0.1360750836671166,0.2114485180347152,0.45866098254514465,0.4215311970890203,-2.4502800000000002,-2.2126272485230483,2.1298203299101046,-1.531034922475381,-2.1877158223397095,-0.8363857639925227
0.5,idle,,0.2408617988647398,0.2099841837701975,0.43831287480784226,0.35821401171493794,-2.6596799999999994,-2.0106105649008645,2.0871916136426636,-1.6580833005722637,-2.2088620290815246,-1.0250585818896654
0.6,idle,,0.327847476729974,0.17869483434504868,0.4594942002898484,0.293688675428234,-2.86908,-1.8801934414430086,1.9418843007261515,-1.6558846084944179,-2.096015896931974,-1.2619310752138646
0.7,idle,,0.39845723352960316,0.11442729485044978,0.44808676350943333,0.2155152338883463,-3.07848,-1.7738906395748995,1.8836238258752571,-1.691359227120205,-2.036795043815062,-1.4736892492609825
0.8,idle,,0.43404835091865085,0.039700849965251375,0.45254871809903097,0.14042855695511353,-3.2878799999999995,-1.7315874298089982,1.8248618881363075,-1.6786302412052554,-1.8907645150119585,-1.7057171162941203
0.9,idle,,0.439978645236898,-0.037592797649863924,0.45140848137261236,0.06554226873132829,-3.497279999999999,-1.7262928715921673,1.8120166170831917,-1.6645543283938717,-1.7317291253263818,-1.9222862332089228
1.0,idle,,0.4200388887786869,-0.09982726443451842,0.45011082833699273,0.00020888473608804924,-3.6903090150682285,-1.7612161938838438,1.8384907431716213,-1.648612896460767,-1.571626121906362,-2.1187842532159786
1.1,idle,,0.42000635725435487,-0.09999141808818686,0.4500008101483153,1.0710753175852211e-05,-3.6908872474185093,-1.7611199980126584,1.8385554151073078,-1.6482254283051152,-1.5708229225842518,-2.1200379195301644
1.2,pick,a-large-1,0.39090525708626755,-0.19995122190437584,0.26696497522003826,0.21766249525705877,-3.9002872474185093,-1.5517199980126584,2.0975724044584965,-1.915528554924085,-1.6727592550798547,-2.329851012849204
1.3,pick,a-large-1,0.41544156654788755,-0.2718984796362346,0.20448279576085893,0.10765102454731798,-4.003399296709749,-1.3423199980126583,2.0835662295294965,-2.229728554924085,-1.527740213258499,-2.4296877628444338
1.4,pick,a-large-1,0.46662691992136945,-0.28033339131823265,0.1435922950833237,0.020198843499449365,-3.9327346884162186,-1.1329199980126585,2.0197182546509294,-2.45265209120392,-1.5631859561520494,-2.361509720148181
1.5,lift,a-large-1,0.5326874787121324,-0.3225736973531491,0.3317955511243583,0.048637193359744216,-3.902447934172612,-1.2585599980126587,1.7494132114360497,-2.4790553913240876,-1.573925857540276,-2.3319994584923847
1.6,lift,a-large-1,0.5037729422155943,-0.30406952720213887,0.3630886194045883,0.01748494356162204,-3.91482823296979,-1.364162908556144,1.731765212956222,-2.1648553913240876,-1.5682591028650499,-2.343618755707741
1.7,reject,a-large-1,0.47513083087047886,-0.1688438971126896,0.3295718369545411,0.7380020832165861,-3.791074691265189,-1.5019861879268075,1.8915212056572093,-1.8506553913240875,-1.380856649764242,-2.250312520388758
1.8,reject,a-large-1,0.37414123104102803,0.02532963855559918,0.27177961225534203,0.5295139264042849,-3.5816746912651913,-1.7113861879268086,2.2057212056572104,-1.5364553913240875,-1.0666566497642425,-2.0976704192193742
1.9,reject,a-large-1,0.30590873744454583,0.12691967703089158,0.27075495514835946,0.4203803835642548,-3.3722746912651917,-1.920786187926809,2.40476272820515,-1.7153399307129351,-0.933516890197415,-1.8814718937582116
2.0,reject,a-large-1,0.26093746056755696,0.1813502191693574,0.3462068263854675,0.35881794771807596,-3.162874691265192,-2.130186187926809,2.374357276512317,-1.8410652833704235,-1.0138221410783066,-1.5672718937582113
2.1,reject,a-large-1,0.2845060435507709,0.24399727468407256,0.34378597188358245,0.2963821389305647,-2.953474691265193,-1.920786187926809,2.2815352027990516,-1.9808849139633142,-1.0182331029141372,-1.3839537477471398
2.2,reject,a-large-1,0.3117314302283911,0.3207124447601291,0.35914776108003,0.22404281043221277,-2.744074691265192,-1.7113861879268093,2.0727781307171305,-1.982465627394928,-1.148080365715144,-1.1881022839487667
2.3,reject,a-large-1,0.31622811382230376,0.4177072678832721,0.35182777682221944,0.13127241576469095,-2.5346746912651925,-1.5019861879268097,1.8778687803901863,-1.990875888177093,-1.2791627133899137,-0.9700856757154703
