uid,class,observations,anomaly_max,p_reject_mean
0,wrong_size,3,8.957797584497849,0.0003283632753825956
1,plastic_chip,3,21.543868738115492,0.44906600857061885
2,good,3,3.6328533695241285,0.00028526494874915625
3,good,3,3.366014149782847,5.3966552760689505e-06
4,good,3,3.391344682603637,0.02191884275616798
5,good,3,7.496937261077189,8.966466828701947e-05
6,good,3,2.6124198046456977,1.1746942655167248e-05
7,good,4,3.379858323153154,1.688847477823555e-05
8,good,3,4.12468984356221,0.0141783159033317
9,good,4,3.172413577665899,0.00021707798913434174
10,plastic_chip,2,22.768740622832226,0.2797480464006169
11,good,4,5.490884236477945,0.9984357173727885
12,good,3,3.2549828526113416,0.009940615284455716
13,good,3,2.166021019798545,0.00631578295099407
14,wrong_size,3,10.921196564128174,0.0001160807710778738
15,good,4,2.7309267550529155,0.015179654172131822
16,good,3,2.661980856415412,1.2309789973268705e-05
19,good,4,2.7155546988076247,7.825649154500803e-05
20,good,3,3.1842271103261264,0.00012434436461635902
21,good,4,3.467788284852238,0.01933669837064355
23,good,3,3.4722073238801623,0.05559430769551296
24,wrong_size,2,9.500113929417871,0.0017699174272479009
25,wrong_size,3,9.023133587730962,0.00019648413639768213
26,odd_colour,3,113.48290394652797,0.887895077776992
27,plastic_chip,2,25.036250005420634,0.31786142396856076
28,good,3,2.6696805670576413,0.0011090523726630015
29,good,3,2.5782209548740127,5.670131586658303e-05
30,odd_colour,3,253.9891634066206,0.943597171769956
31,good,4,2.0725882322063187,0.00018178689550548256
32,good,3,2.924195789479884,0.05309369321037213
35,plastic_chip,2,20.21785891710782,0.5937326018342921
36,good,3,2.578112591738072,0.0006692521885240393
38,good,5,4.56971698512641,0.02372796457844156
39,good,3,4.2643998597487744,0.006982493597348577
40,odd_colour,5,179.27466925093196,0.9230496466083945
41,good,3,2.6060342719363785,0.00044173262769852214
42,good,3,5.724016077285562,4.4341944279350534e-05
43,good,3,2.4439591141129764,0.0003674626185958085
44,odd_colour,3,192.210194705158,0.9044938770377652
45,good,3,3.2572011340880103,0.12287699542771165
46,good,3,2.213463966163775,0.00015639335633500082
47,good,3,2.314144416805608,2.2490690786376678e-05
48,good,3,4.732643722717314,0.006175100645517584
49,good,3,2.7331201858841916,0.04690428156575035
50,good,3,4.538136384533094,0.00016879861590593436
51,wrong_size,3,9.344249183856613,0.0032447091735456914
52,odd_colour,3,192.56785607173074,0.9926877075225687
53,odd_colour,4,130.9043633489058,0.9813411422513117
56,good,2,2.000960854947813,0.00023204032992565392
57,good,3,3.1300649203056645,2.1579847717162324e-05
58,good,4,2.265782654352223,0.00043890592122764973
59,good,3,2.908009993538482,4.366871881847278e-05
60,good,4,3.782836703460976,0.0002798957258514447
62,good,4,2.6640265894422357,7.465574053299271e-05
63,odd_colour,3,483.14769885394844,0.9951368340290694
64,good,4,4.749678780579364,0.010191138401051127
65,good,3,2.184530798930453,3.737185738853495e-05
66,wrong_size,3,8.080630648357499,0.0007457556010353354
67,good,4,2.4151358123201274,0.001903050584867411
68,good,3,2.4405502695293206,0.00021014303194277678
69,good,3,7.784834917392298,0.00030376119143649697
70,good,4,2.222636912223644,2.628137014660367e-05
71,wrong_size,3,9.504373369685801,0.00014866087923084785
72,good,4,2.1478168782116183,0.0002208921415274418
