captured_t,blob_index,uid,class,anomaly,p_reject,selected_for_offline_sweep
0.2880000000000002,3,0,wrong_size,8.936160194934931,0.0003357188496013306,True
0.2920000000000002,2,2,good,3.4816370008287723,0.0006358352868177865,True
0.2920000000000002,3,0,wrong_size,8.957797584497849,0.00033095082039268396,True
0.2960000000000002,4,5,good,4.538762630777901,5.614741654404141e-05,True
0.2960000000000002,5,2,good,3.472428020094949,0.00015455857384516096,True
0.2960000000000002,6,0,wrong_size,8.942473022693758,0.0003184201561537722,True
0.3000000000000002,2,4,good,3.364664707216288,0.019100022451850315,True
0.3000000000000002,3,10,plastic_chip,22.768740622832226,0.31620223676646464,True
0.3000000000000002,4,5,good,4.574008536348319,7.16135146583517e-05,True
0.3000000000000002,5,2,good,3.6328533695241285,6.540098558452121e-05,True
0.3040000000000002,3,7,good,3.379858323153154,6.058190866646927e-06,True
0.3040000000000002,4,4,good,3.354960016583712,0.01665951471056075,True
0.3040000000000002,5,10,plastic_chip,22.639051737664417,0.2432938560347692,True
0.3040000000000002,6,5,good,7.496937261077189,0.00014123307365866534,True
0.3080000000000002,2,1,plastic_chip,21.439456157014043,0.444167975181215,True
0.3080000000000002,3,7,good,3.33909687756615,1.4971832683643645e-05,True
0.3080000000000002,4,4,good,3.391344682603637,0.029996991106092868,True
0.3120000000000002,2,1,plastic_chip,21.50702841507012,0.4588621925855301,True
0.3120000000000002,3,7,good,3.19029713820807,5.089756215881758e-06,True
0.3160000000000002,4,1,plastic_chip,21.543868738115492,0.4441678579451113,True
0.3160000000000002,5,7,good,3.346631009280174,4.143411934676987e-05,True
0.32000000000000023,2,8,good,4.12468984356221,0.015173350270911675,True
0.32000000000000023,3,6,good,2.6124198046456977,1.03763903070894e-05,True
0.32000000000000023,4,3,good,3.358965941203469,6.314013434476373e-06,True
0.32400000000000023,2,8,good,3.8613002267249206,0.015565991988569972,True
0.32400000000000023,3,6,good,2.5692360566358663,1.0208220788343779e-05,True
0.32400000000000023,4,3,good,3.366014149782847,4.43870921455619e-06,True
0.32800000000000024,2,6,good,2.5563150405610235,1.4656216870068563e-05,True
0.32800000000000024,3,8,good,3.8397214459098565,0.011795605450513455,True
0.32800000000000024,4,3,good,3.3592027346302173,5.437243179174289e-06,True
0.33600000000000024,2,9,good,3.172413577665899,0.00042796195937974555,True
0.33600000000000024,3,15,good,2.5337054371564913,0.0012165752478967536,True
0.34000000000000025,4,9,good,3.0848164362940875,0.00020259399302346252,True
0.34000000000000025,5,15,good,2.494325738424384,0.0009519975660149969,True
0.34400000000000025,2,16,good,2.537124912951045,1.3880234138140272e-05,True
0.34400000000000025,3,12,good,2.9611600883948905,0.0031514135292717866,True
0.34400000000000025,4,9,good,2.865687640713951,0.00011473275699502672,True
0.34400000000000025,5,15,good,2.7309267550529155,0.0055644978058298575,True
0.34800000000000025,4,16,good,2.661980856415412,1.1515623732241936e-05,True
0.34800000000000025,5,12,good,3.2549828526113416,0.012687391742508717,True
0.34800000000000025,6,9,good,2.9603218678665977,0.00012302324713913223,True
0.34800000000000025,7,15,good,2.590693024113343,0.05298554606878568,True
0.35200000000000026,4,14,wrong_size,10.72701939904451,0.0001369866895602176,True
0.35200000000000026,5,11,good,5.207643312766916,0.9978818112995432,True
0.35200000000000026,6,21,good,3.451979981558002,0.0003415609241076188,True
0.35200000000000026,7,16,good,2.5732526422786037,1.1533512049423907e-05,True
0.35200000000000026,8,12,good,3.215534488551307,0.013983040581586642,True
0.35600000000000026,3,13,good,1.9685433572912694,0.007824421987147508,True
0.35600000000000026,4,14,wrong_size,10.815302899423735,7.33019771669527e-05,True
0.35600000000000026,5,11,good,5.2187705009465475,0.9991251115431949,True
0.35600000000000026,6,21,good,3.4086075020042843,0.002646478307708888,True
0.36000000000000026,3,19,good,2.450881680334824,6.753314992212542e-05,True
0.36000000000000026,4,24,wrong_size,9.500113929417871,0.0015633764183667525,True
0.36000000000000026,5,13,good,2.166021019798545,0.003353932649628085,True
0.36000000000000026,6,14,wrong_size,10.921196564128174,0.00013795364650645112,True
0.36000000000000026,7,11,good,5.490884236477945,0.9974518985855464,True
0.36000000000000026,8,21,good,3.459501335991943,0.010335291188244547,True
0.36400000000000027,3,25,wrong_size,8.989512001821485,0.00018002041759523682,True
0.36400000000000027,4,19,good,2.4396204639402934,3.7427475679315835e-05,True
0.36400000000000027,5,24,wrong_size,9.496009583972098,0.001976458436129049,True
0.36400000000000027,6,13,good,1.9667672169810775,0.007768994216206617,True
0.36400000000000027,7,11,good,5.21292792790472,0.9992840480628694,True
0.36400000000000027,8,21,good,3.467788284852238,0.06402346306251315,True
0.36800000000000027,4,25,wrong_size,8.97487005094169,0.00019582508811149271,True
0.36800000000000027,5,19,good,2.502494827854851,6.711530278347541e-05,True
0.3720000000000003,3,20,good,2.429508230408876,0.00013656110648706542,True
0.3720000000000003,5,25,wrong_size,9.023133587730962,0.00021360690348631685,True
0.3720000000000003,6,19,good,2.7155546988076247,0.00014095003779511546,True
0.3760000000000003,3,20,good,2.4516633167050186,8.79407440970549e-05,True
0.3800000000000003,4,35,plastic_chip,20.19708232362491,0.5983622620052291,True
0.3800000000000003,5,20,good,3.1842271103261264,0.00014853124326495677,True
0.3840000000000003,3,23,good,3.4722073238801623,0.08605244806913777,True
0.3840000000000003,4,26,odd_colour,112.34070217303265,0.9753992182391149,True
0.3840000000000003,5,35,plastic_chip,20.21785891710782,0.5891029416633551,True
0.3880000000000003,3,27,plastic_chip,25.036250005420634,0.3177942823306879,True
0.3880000000000003,4,23,good,3.4049690929457115,0.0444973230517521,True
0.3880000000000003,5,26,odd_colour,113.06471269156609,0.729363901568242,True
0.3920000000000003,3,32,good,2.924195789479884,0.05734543472968631,True
0.3920000000000003,4,27,plastic_chip,24.80338890024606,0.3179285656064336,True
0.3920000000000003,5,23,good,3.328069157819648,0.036233151965649024,True
0.3920000000000003,6,26,odd_colour,113.48290394652797,0.9589221135236191,True
0.3960000000000003,2,28,good,2.662992331994513,0.00020092757662106862,True
0.3960000000000003,3,32,good,2.9232241734159565,0.06302530277617605,True
0.4000000000000003,2,30,odd_colour,253.9891634066206,0.933358358456014,True
0.4000000000000003,3,31,good,2.0725882322063187,8.730079974126131e-05,True
0.4000000000000003,4,28,good,2.6696805670576413,0.0010183852494078985,True
0.4000000000000003,5,32,good,2.855540259155554,0.038910342125254016,True
0.4040000000000003,4,29,good,2.5155562384444865,5.129490494376788e-05,True
0.4040000000000003,5,30,odd_colour,252.8228948677008,0.9646579765398335,True
0.4040000000000003,6,31,good,2.0687861713834965,0.0002142451486889887,True
0.4040000000000003,7,28,good,2.3712475321098814,0.0021078442919600375,True
0.4080000000000003,2,40,odd_colour,179.27466925093196,0.7938870834924048,True
0.4080000000000003,4,29,good,2.490150434939424,6.95753592816231e-05,True
0.4080000000000003,5,30,odd_colour,253.31135570486398,0.9327751803140202,True
0.4080000000000003,6,31,good,2.042073000597801,0.00026395979080954586,True
0.4120000000000003,4,40,odd_colour,178.15441514822868,0.9474949452603786,True
0.4120000000000003,6,29,good,2.5782209548740127,4.9233683374358106e-05,True
0.4120000000000003,8,31,good,2.039972752734515,0.0001616418427821343,True
0.4160000000000003,3,45,good,3.206710631449672,0.057211576533226165,True
0.4160000000000003,4,40,odd_colour,175.5619248693024,0.9587046950029645,True
