label,source,effective_rate_beans_per_s,input_kg_h,accepted_kg_h,defect_rejected_kg_h,good_rejected_kg_h,good_spilled_kg_h,good_unresolved_kg_h,defect_spilled_kg_h,defect_unresolved_kg_h,uplift_eur_h,zero_premium_eur_h,break_even_accepted_stream_premium_eur_per_kg,incoming_defect_count_percent,residual_accepted_defect_count_percent
rate-500: requested 500; effective 500 beans/s,runs/rate-sweep/rate-500/metrics.json,500.0000000000343,288.0000000000197,251.44615384617106,25.255384615386344,7.089230769231254,0.2215384615384767,0.0,3.7661538461541038,0.2215384615384767,-93.60000000000628,-219.32307692309178,0.8722466960352425,14.23076923076923,4.669603524229075
rate-1000: requested 1000; effective 1000 beans/s,runs/rate-sweep/rate-1000/metrics.json,1000.0000000000686,576.0000000000394,497.57538461541867,36.33230769231018,28.356923076925018,3.3230769230771506,0.0,10.412307692308405,0.0,-221.76000000001522,-470.54769230772445,0.9456812110418525,14.192307692307692,7.034728406055209
rate-2000: requested 2000; effective 2000 beans/s,runs/rate-sweep/rate-2000/metrics.json,2000.000000000137,1152.000000000079,947.5200000000649,73.99384615385122,78.86769230769771,25.03384615384787,0.8861538461539068,25.6984615384633,0.0,-753.1200000000508,-1226.8800000000838,1.2948328267477203,15.096153846153847,7.8325929389759175
rate-3000: requested 3000; effective 2214.38 beans/s,runs/rate-sweep/rate-3000/metrics.json,2214.375000000152,1275.4800000000878,1038.1967379311059,79.38763448276408,94.56144827586857,27.048972413794964,0.43982068965520266,35.405565517243815,0.43982068965520266,-904.6012034483383,-1423.6995724138915,1.3713196356704094,15.60344827586207,8.070324083880534
