tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2880,-0.1220,0.1245,3.000,husk,1.000,11.12,1,1,1,0,6.53,1,2.4,47|48,,
2,0.2880,-0.1021,0.1244,3.000,husk,1.000,11.14,1,1,1,0,3.84,1,2.4,47|48,84,
1,0.2920,-0.1172,-0.2004,3.009,insect,1.000,3.23,1,1,1,0,-1.94,2,3.1,6,6,
4,0.2960,-0.1168,0.0681,3.002,good,0.000,2.85,0,0,0,0,-0.16,2,0.0,,,
3,0.3000,-0.1250,-0.0400,3.018,husk,0.904,12.29,1,0,0,1,-5.72,2,2.4,26|27,,
11,0.3000,-0.1144,-0.0346,3.000,husk,1.000,11.87,1,0,0,1,-4.82,1,2.4,27,23,
12,0.3000,-0.1107,-0.0463,3.000,good,0.025,4.63,0,0,0,0,-6.08,1,0.0,,,
5,0.3040,-0.1149,-0.0865,2.842,good,0.004,4.47,0,0,0,0,-3.74,3,0.0,,,
6,0.3040,-0.1138,0.2298,3.046,good,0.001,5.04,0,0,0,0,-9.21,3,0.0,,,
7,0.3040,-0.1097,-0.1233,3.031,sour,1.000,16.41,1,0,0,1,-10.29,3,3.2,16,5,
8,0.3040,-0.1199,-0.0016,3.015,good,0.000,4.71,0,0,0,0,-6.58,2,0.0,,,
10,0.3040,-0.1200,0.0393,2.999,broken,0.991,2.82,1,0,0,1,-6.21,2,2.4,37|36,10,
9,0.3080,-0.1087,-0.1129,2.972,good,0.000,1.74,0,0,0,0,-1.63,3,0.0,,,
18,0.3080,-0.1200,0.0007,3.025,good,0.000,2.38,0,0,0,0,0.80,2,0.0,,,
19,0.3080,-0.1172,0.1661,2.998,good,0.000,2.83,0,0,0,0,0.49,2,0.0,,,
13,0.3120,-0.1153,0.2409,2.948,good,0.017,4.65,0,0,0,0,-2.23,3,0.0,,,
14,0.3120,-0.1132,-0.1771,3.012,good,0.124,7.19,0,0,0,0,-4.52,3,0.0,,,
15,0.3120,-0.1146,-0.1646,2.932,good,0.000,2.59,0,0,0,0,-2.16,3,0.0,,,
16,0.3120,-0.1164,0.0687,2.439,good,0.000,8.45,0,0,0,0,13.30,3,0.0,,,
17,0.3120,-0.1082,-0.0988,2.994,faded,0.816,6.57,1,0,0,1,-5.91,3,3.2,19,17,
23,0.3160,-0.1174,0.1651,3.119,good,0.000,2.37,0,0,0,0,-6.16,2,0.0,,,
25,0.3160,-0.1066,0.0718,3.000,good,0.000,8.43,0,0,0,0,-7.00,1,0.0,,,
20,0.3200,-0.1084,0.1873,3.338,good,0.001,5.35,0,0,0,0,-14.98,3,0.0,,,
21,0.3200,-0.1103,0.2239,3.094,good,0.001,4.99,0,0,0,0,-9.49,3,0.0,,,
22,0.3200,-0.1088,-0.1456,3.002,good,0.000,2.14,0,0,0,0,-7.95,3,0.0,,,
24,0.3240,-0.1154,-0.0547,2.998,good,0.000,1.92,0,0,0,0,-5.51,3,0.0,,,
